ID,Bundesland,Hauptstadt
1,Schleswig-Holstein,Kiel
2,Hamburg,Hamburg
3,Mecklenburg-Vorpommern,Schwerin
4,Brandenburg,Potsdam
5,Berlin,Berlin
6,Sachsen,Dresden
7,Bayern,München
8,Baden-Württemberg,Stuttgart
9,Rheinland-Pfalz,Mainz
10,Saarland,Saarbrücken
11,Nordrhein-Westfalen,Düsseldorf
12,Niedersachsen,Hannover
13,Bremen,Bremen
14,Sachsen-Anhalt,Magdeburg
15,Thüringen,Erfurt
16,Hessen,Wiesbaden
