ID;Bundesland;Hauptstadt
1;Schleswig-Holstein;Kiel
2;Hamburg;Hamburg
3;Niedersachsen;Hannover
4;Bremen;Bremen
5;Nordrhein-Westfalen;Düsseldorf
6;Hessen;Wiesbaden
7;Rheinland-Pfalz;Mainz
8;Baden-Württemberg;Stuttgart
9;Bayern;München
10;Saarland;Saarbrücken
11;Berlin;Berlin
12;Brandenburg;Potsdam
13;Mecklenburg-Vorpommern;Schwerin
14;Sachsen;Dresden
15;Sachsen-Anhalt;Magdeburg
16;Thüringen;Erfurt
