Schlüsselnummer;Kreis/Landkreis;Insgesamt;Männlich;Weiblich
6439;Rheingau-Taunus-Kreis;184 114;90 514;93 600
6440;Wetteraukreis;301 931;149 253;152 678
6531;Gießen;262 505;129 534;132 971
6532;Lahn-Dill-Kreis;253 167;124 914;128 253
6533;Limburg-Weilburg;171 922;85 410;86 512
6534;Marburg-Biedenkopf;245 241;120 775;124 466
6535;Vogelsbergkreis;107 256;53 707;53 549
6611;Kassel, documenta-Stadt;197 984;96 659;101 325
6631;Fulda;220 132;108 993;111 139
6632;Hersfeld-Rotenburg;121 166;60 407;60 759
6633;Kassel;235 813;115 972;119 841
6634;Schwalm-Eder-Kreis;180 310;90 229;90 081
6635;Waldeck-Frankenberg;157 592;78 655;78 937
6636;Werra-Meißner-Kreis;100 715;49 582;51 133
7111;Koblenz, kreisfreie Stadt;112 586;54 391;58 195
7131;Ahrweiler;127 770;62 533;65 237
7132;Altenkirchen (Westerwald);129 171;64 024;65 147
7133;Bad Kreuznach;156 821;76 459;80 362
7134;Birkenfeld;80 615;39 898;40 717
7135;Cochem-Zell;62 391;31 294;31 097
7137;Mayen-Koblenz;211 925;104 476;107 449
7138;Neuwied;180 655;88 745;91 910
7140;Rhein-Hunsrück-Kreis;102 529;50 945;51 584
7141;Rhein-Lahn-Kreis;123 543;61 376;62 167
7143;Westerwaldkreis;200 302;99 605;100 697
7211;Trier, kreisfreie Stadt;114 914;57 510;57 404
7231;Bernkastel-Wittlich;111 828;55 763;56 065
7232;Eifelkreis Bitburg-Prüm;97 180;48 729;48 451
7233;Vulkaneifel;60 794;30 387;30 407
7235;Trier-Saarburg;147 999;73 248;74 751
7311;Frankenthal (Pfalz), kreisfreie Stadt;48 363;23 482;24 881
7312;Kaiserslautern, kreisfreie Stadt;98 520;49 508;49 012
7313;Landau in der Pfalz, kreisfreie Stadt;45 362;21 495;23 867
7314;Ludwigshafen am Rhein, kreisfreie Stadt;164 718;81 590;83 128
7315;Mainz, kreisfreie Stadt;209 779;101 620;108 159
7316;Neustadt an der Weinstraße, kreisfreie Stadt;52 999;25 714;27 285
7317;Pirmasens, kreisfreie Stadt;40 125;19 453;20 672
7318;Speyer, kreisfreie Stadt;50 284;24 245;26 039
7319;Worms, kreisfreie Stadt;82 102;40 323;41 779
7320;Zweibrücken, kreisfreie Stadt;34 260;16 893;17 367
7331;Alzey-Worms;127 274;63 379;63 895
7332;Bad Dürkheim;132 203;64 778;67 425
7333;Donnersbergkreis;75 230;37 221;38 009
7334;Germersheim;127 303;63 377;63 926
7335;Kaiserslautern;104 966;51 600;53 366
7336;Kusel;70 997;35 214;35 783
7337;Südliche Weinstraße;110 526;54 637;55 889
7338;Rhein-Pfalz-Kreis;151 546;74 549;76 997
7339;Mainz-Bingen;208 749;103 161;105 588
7340;Südwestpfalz;96 474;47 711;48 763
8111;Stuttgart, Stadtkreis;623 738;310 492;313 246
8115;Böblingen;381 281;189 163;192 118
8116;Esslingen;524 127;260 597;263 530
